"Bus Table (SPI (with CS): 8 Bit, MSB, Clk = D0, MOSI = D1, MISO = D2, CS = D3)"
"gg"
Frame,Mark,Start Time in s,Source,Length,Data,State
133,,-6.3955136e-3,MISO,2,0x0004,OK
134,,-6.3760128e-3,MOSI,2,0x8800,OK
135,,-6.3760128e-3,MISO,2,0x0004,OK
136,,-6.3565120e-3,MOSI,2,0x8800,OK
137,,-6.3565120e-3,MISO,2,0x0004,OK
138,,-6.3370176e-3,MOSI,2,0x8800,OK
139,,-6.3370176e-3,MISO,2,0x0004,OK
140,,-6.3175168e-3,MOSI,2,0x8800,OK
141,,-6.3175168e-3,MISO,2,0x0004,OK
142,,-6.2980160e-3,MOSI,2,0x8800,OK
143,,-6.2980160e-3,MISO,2,0x0004,OK
144,,-6.2785152e-3,MOSI,2,0x8800,OK
145,,-6.2785152e-3,MISO,2,0x0004,OK
146,,-6.2590144e-3,MOSI,2,0x8800,OK
147,,-6.2590144e-3,MISO,2,0x0004,OK
148,,-6.2395136e-3,MOSI,2,0x8800,OK
149,,-6.2395136e-3,MISO,2,0x0004,OK
150,,-6.2200128e-3,MOSI,2,0x8800,OK
151,,-6.2200128e-3,MISO,2,0x0004,OK
152,,-6.2005120e-3,MOSI,2,0x8800,OK
153,,-6.2005120e-3,MISO,2,0x0004,OK
154,,-6.1810176e-3,MOSI,2,0x8800,OK
155,,-6.1810176e-3,MISO,2,0x0004,OK
156,,-6.1615168e-3,MOSI,2,0x8800,OK
157,,-6.1615168e-3,MISO,2,0x0004,OK
158,,-6.1420160e-3,MOSI,2,0x8800,OK
159,,-6.1420160e-3,MISO,2,0x0004,OK
160,,-6.1225152e-3,MOSI,2,0x8800,OK
161,,-6.1225152e-3,MISO,2,0x0004,OK
162,,-6.1030144e-3,MOSI,2,0x8800,OK
163,,-6.1030144e-3,MISO,2,0x0004,OK
164,,-6.0835136e-3,MOSI,2,0x8800,OK
165,,-6.0835136e-3,MISO,2,0x0004,OK
166,,-6.0640128e-3,MOSI,2,0x8800,OK
167,,-6.0640128e-3,MISO,2,0x0004,OK
168,,-6.0445120e-3,MOSI,2,0x8800,OK
169,,-6.0445120e-3,MISO,2,0x0004,OK
170,,-6.0250176e-3,MOSI,2,0x8800,OK
